	GenotipoA_Control	GenotipoA_Tratamiento	GenotipoB_Control	GenotipoB_Tratamiento
1	4.2895934363007	5.42465303739161	4.11764659710013	8.44455085842335
2	5.25688370915653	6.60796432222503	3.0525253858152	7.45150405307921
3	4.75330812153763	4.38211729171084	3.50944255629933	7.04123292199294
4	4.65245740060227	5.94443803447546	3.74390780780175	6.57750316766038
5	4.04838143273498	6.51940720394346	5.84386200523221	4.94675277845948
6	4.95497227519108	6.30115336216671	3.34805009830454	8.13133721341418
7	4.21509553054292	6.10567619414894	4.23538657228486	5.53935992907518
8	3.33205806341186	5.35929399169462	4.07796084956371	7.73994751087733
9	4.61977347971224	5.15029565396642	3.03814336586987	8.90910356921748
10	5.91899660906077	4.97587120939509	3.9286919138764	5.5561068390282
